mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,band_0_80_mean,band_0_80_std,band_80_200_mean,band_80_200_std,band_200_800_mean,band_200_800_std,label
-81.30765,145.25098,-48.493595,0.7688801,-5.4816217,26.73602,4.350823,20.858133,-1.6181101,1.2379851,-1.2832963,4.8949404,-11.7340975,8.736817,7.4057302,8.304437,4.355676,4.4671755,4.170385,4.396032,5.3428574,4.170717,4.8978686,4.3070703,2.9145339,4.551267,68.415344,132.19708,5.009968,3.3101676,2.333439,1.6579257,0
-82.58949,151.58257,-48.35002,5.990444,-10.318488,26.04128,5.0209417,23.973839,-3.6067479,4.1019363,-3.0102153,5.6879396,-7.102049,8.549832,7.9026833,9.677929,5.3977704,6.089036,5.1209154,4.8065653,3.3768177,3.452688,2.4400473,3.1197793,3.1542313,3.2819371,65.92058,129.11403,4.327901,3.8818538,2.8513217,1.9049932,0
-75.37601,145.35835,-39.791206,2.8963025,-5.24331,32.165855,4.3337083,28.624355,1.4149624,6.630452,-5.8390174,6.139298,-5.9665103,12.109372,9.028498,7.6976867,5.32119,7.3233066,4.087982,5.043918,5.3016543,3.5279312,2.989513,3.344975,3.4117498,5.9657445,67.299995,127.26391,9.445,4.160484,2.6120834,1.736672,0
-147.93234,81.34834,-22.96922,-14.397661,-28.067099,-13.10949,-12.703071,-6.673495,-17.599607,-8.514597,-17.910046,-9.86588,-21.077091,43.969982,16.020664,8.499718,9.309155,11.105836,7.0676303,4.8019075,5.192249,4.795766,4.3284516,4.650679,7.126602,5.5055842,0.27158394,0.1404624,0.45546675,0.18205732,1.4719911,0.9392084,0
-131.55138,131.29422,-41.099045,4.992476,-7.983703,29.619234,4.6664987,18.329466,-2.079945,-5.0203834,-3.4660769,13.486358,-7.5368075,41.633907,18.361467,16.340225,14.281665,7.940685,6.1793613,7.596407,6.540479,6.4978848,6.5266047,4.9825845,5.1155667,4.897758,33.835667,64.22352,2.7258992,1.9803016,1.7760923,1.3291777,0
-80.19278,144.24034,-46.10705,4.5965014,-8.962727,29.756329,4.1031113,22.857826,-3.6105592,0.0027112353,-1.4335496,4.713189,-8.894875,19.913855,11.041317,9.933937,7.599505,6.141525,3.8933911,5.192447,7.6513605,4.3536105,7.077589,5.33298,5.298419,4.6718793,71.149796,135.17134,4.171229,2.9909904,3.3282409,2.254649,0
-56.26155,136.49677,-31.825863,6.0051427,-13.680755,19.561586,-1.5560173,18.580128,-4.0162444,7.25187,-9.308319,5.467367,-3.6885097,13.128161,9.059127,6.6252613,4.544173,7.9220476,6.045604,5.064487,5.5694475,3.9705267,3.2617254,4.1468043,4.1227593,4.1826096,61.500374,117.218155,5.381314,3.1615584,3.1378887,2.5139477,0
-52.65398,131.80128,-32.474716,3.4266653,-15.154654,20.681313,-3.1983778,16.463396,-2.8085854,3.5989864,-9.487864,3.4705136,-6.329931,12.0863495,8.347111,7.76368,7.016399,5.2335076,4.871523,4.7010684,4.716749,4.165399,3.032364,4.8583345,3.4946935,4.2279725,62.902588,121.33499,3.574458,2.4495854,3.1130276,1.6341038,0
-141.70549,125.15918,-34.772068,12.806503,1.1277986,27.094532,-9.128074,16.577955,-5.4062204,4.2531204,-7.3640547,11.119976,-6.0720143,46.361485,15.803474,16.23633,9.962292,7.5378795,7.0439987,8.861533,7.9765687,6.502733,5.9527555,4.6026707,5.398063,5.5027122,31.612589,61.84203,1.6177633,1.3899741,1.4485301,1.2747494,0
-72.99721,137.83446,-30.652336,5.943232,-13.299945,23.885914,5.923137,18.472324,-3.776385,2.7668433,-5.518761,7.0107284,-8.56985,15.632427,9.377633,7.963255,6.47962,5.7658567,4.7274046,3.7227776,4.2383323,3.9537783,4.0060477,3.7288458,3.4833553,3.965187,68.57975,133.34741,3.687248,3.3089037,3.5481074,1.9619253,0
